employee_id,employee_name,age,email,phone,status,department_id,role_id
1,Employee 1,44,employee1@company.com,9814386585,ACTIVE,8,4
2,Employee 2,32,employee2@company.com,9885854113,INACTIVE,7,3
3,Employee 3,45,employee3@company.com,9817633218,INACTIVE,4,2
4,Employee 4,23,employee4@company.com,9844483263,INACTIVE,4,2
5,Employee 5,50,employee5@company.com,9842985165,INACTIVE,4,2
6,Employee 6,42,employee6@company.com,9869629649,ACTIVE,7,1
7,Employee 7,22,employee7@company.com,9895018231,INACTIVE,7,3
8,Employee 8,33,employee8@company.com,9882674618,INACTIVE,9,2
9,Employee 9,46,employee9@company.com,9875908115,INACTIVE,5,4
10,Employee 10,29,employee10@company.com,9851603269,INACTIVE,7,2
11,Employee 11,53,employee11@company.com,9831814040,ACTIVE,2,2
12,Employee 12,45,employee12@company.com,9818306957,ACTIVE,9,2
13,Employee 13,36,employee13@company.com,9883613419,ACTIVE,7,2
14,Employee 14,36,employee14@company.com,9814476947,INACTIVE,7,3
15,Employee 15,54,employee15@company.com,9884587532,INACTIVE,8,3
16,Employee 16,55,employee16@company.com,9831720490,INACTIVE,5,4
17,Employee 17,54,employee17@company.com,9882905183,ACTIVE,5,4
18,Employee 18,26,employee18@company.com,9861721278,ACTIVE,10,3
19,Employee 19,44,employee19@company.com,9892689243,INACTIVE,4,2
20,Employee 20,40,employee20@company.com,9828038514,ACTIVE,6,3
21,Employee 21,23,employee21@company.com,9876621598,INACTIVE,9,4
22,Employee 22,48,employee22@company.com,9871436062,INACTIVE,9,3
23,Employee 23,49,employee23@company.com,9851927092,ACTIVE,6,1
24,Employee 24,41,employee24@company.com,9827124435,ACTIVE,9,4
25,Employee 25,42,employee25@company.com,9812161782,ACTIVE,9,2
26,Employee 26,41,employee26@company.com,9865430095,INACTIVE,2,4
27,Employee 27,45,employee27@company.com,9866987879,ACTIVE,5,2
28,Employee 28,34,employee28@company.com,9891677840,ACTIVE,3,2
29,Employee 29,40,employee29@company.com,9875909232,ACTIVE,9,2
30,Employee 30,35,employee30@company.com,9855069731,ACTIVE,10,4
31,Employee 31,45,employee31@company.com,9840249029,INACTIVE,6,4
32,Employee 32,42,employee32@company.com,9811832406,INACTIVE,10,4
33,Employee 33,53,employee33@company.com,9848920840,ACTIVE,1,3
34,Employee 34,47,employee34@company.com,9824791454,ACTIVE,1,3
35,Employee 35,35,employee35@company.com,9841578675,INACTIVE,2,2
36,Employee 36,36,employee36@company.com,9894481244,INACTIVE,2,1
37,Employee 37,52,employee37@company.com,9837445262,INACTIVE,5,2
38,Employee 38,30,employee38@company.com,9823739877,ACTIVE,5,2
39,Employee 39,33,employee39@company.com,9827041656,ACTIVE,3,3
40,Employee 40,40,employee40@company.com,9839666310,ACTIVE,8,2
41,Employee 41,38,employee41@company.com,9832113949,INACTIVE,4,1
42,Employee 42,41,employee42@company.com,9832494698,ACTIVE,10,1
43,Employee 43,43,employee43@company.com,9869521472,INACTIVE,2,4
44,Employee 44,39,employee44@company.com,9878343957,ACTIVE,3,1
45,Employee 45,46,employee45@company.com,9839234041,INACTIVE,6,4
46,Employee 46,25,employee46@company.com,9810941824,INACTIVE,6,1
